"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"Perez -24.875-64.22539",-64.22539,-24.875,2012-01-01 00:00:00,4.77,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.87452-64.24171",-64.24171,-24.87452,2012-01-01 00:00:00,4.294,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.87436-64.24314",-64.24314,-24.87436,2012-01-01 00:00:00,3.459,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.87431-64.244",-64.244,-24.87431,2012-01-01 00:00:00,3.031,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.88127-64.25858",-64.25858,-24.88127,2012-01-01 00:00:00,5.433,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.88208-64.25892",-64.25892,-24.88208,2012-01-01 00:00:00,5.608,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Berhon-36.21589-64.26092",-64.26092,-36.21589,2008-01-01 00:00:00,4.453,"Berhongaray et al., (2013)","TS",0,30
"Berhon-36.21589-64.26092",-64.26092,-36.21589,2008-01-01 00:00:00,5.613,"Berhongaray et al., (2013)","TS",0,30
"Berhon-34.79254-64.32903",-64.32903,-34.79254,2008-01-01 00:00:00,0.844,"Berhongaray et al., (2013)","TS",0,30
"Berhon-34.79254-64.32903",-64.32903,-34.79254,2008-01-01 00:00:00,2.469,"Berhongaray et al., (2013)","TS",0,30
"Perez -24.98966-64.3439",-64.3439,-24.98966,2012-01-01 00:00:00,5.641,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.98874-64.34434",-64.34434,-24.98874,2012-01-01 00:00:00,8.551,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
